dataset_key,imbalance_ratio,training_size,seed,method,generated_count,real_minority_count,real_majority_count,roc_auc,pr_auc,balanced_accuracy,f1,brier,n_samples,n_features,n_numeric_features,n_categorical_features,original_imbalance_ratio,minority_size,preprocessed_dim,missingness_rate,baseline_roc_auc
adult,2.0,256,0,real_balanced,0,170,170,0.8872391173261005,0.7321413064171571,0.7962386998649965,0.6385669125395153,0.17033307613790571,5000,14,6,8,3.180602006688963,1196,102,0.009171428571428572,0.9218493282782293
adult,2.0,256,0,direct_smote,85,85,170,0.8722764324897039,0.681073232614988,0.778088907008708,0.6357142857142857,0.15084960587906565,5000,14,6,8,3.180602006688963,1196,102,0.009171428571428572,0.9218493282782293
adult,2.0,256,0,direct_displacement,85,85,170,0.8815582285001428,0.7280237972673533,0.7872742719453931,0.6427745664739885,0.14990458740349613,5000,14,6,8,3.180602006688963,1196,102,0.009171428571428572,0.9218493282782293
adult,2.0,256,0,latent_smote,85,85,170,0.8731076927583925,0.6831606981104204,0.7755072396544105,0.6351515151515151,0.1454782681452165,5000,14,6,8,3.180602006688963,1196,102,0.009171428571428572,0.9218493282782293
adult,2.0,256,0,latent_displacement,85,85,170,0.8693993686816286,0.6833121159703225,0.7649596332201387,0.6213592233009708,0.14651448026150857,5000,14,6,8,3.180602006688963,1196,102,0.009171428571428572,0.9218493282782293
adult,2.0,512,0,real_balanced,0,342,342,0.880686686896848,0.737046244787302,0.793674121561744,0.6463963963963963,0.1498043760040557,5000,14,6,8,3.180602006688963,1196,102,0.009171428571428572,0.9218493282782293
adult,2.0,512,0,direct_smote,171,171,342,0.8752255144414688,0.7204207278297571,0.7786528456931929,0.6399026763990268,0.14541788224655233,5000,14,6,8,3.180602006688963,1196,102,0.009171428571428572,0.9218493282782293
adult,2.0,512,0,direct_displacement,171,171,342,0.879397684189454,0.7279313669126127,0.7749433009699257,0.631079478054567,0.14775579780528492,5000,14,6,8,3.180602006688963,1196,102,0.009171428571428572,0.9218493282782293
adult,2.0,512,0,latent_smote,171,171,342,0.8785896162043264,0.7347741374998287,0.7656187823318743,0.6335078534031413,0.1309207256621888,5000,14,6,8,3.180602006688963,1196,102,0.009171428571428572,0.9218493282782293
adult,2.0,512,0,latent_displacement,171,171,342,0.8770735732473346,0.7284498383283852,0.7652586916134261,0.6319895968790638,0.1331767995157736,5000,14,6,8,3.180602006688963,1196,102,0.009171428571428572,0.9218493282782293
adult,2.0,1024,0,real_balanced,0,682,682,0.9101311218473753,0.7935108328696825,0.822843911049048,0.6784530386740332,0.13485251290374373,5000,14,6,8,3.180602006688963,1196,102,0.009171428571428572,0.9218493282782293
adult,2.0,1024,0,direct_smote,341,341,682,0.9050385846359665,0.7859614962797109,0.8080435721975787,0.6897435897435897,0.11394459310647115,5000,14,6,8,3.180602006688963,1196,102,0.009171428571428572,0.9218493282782293
adult,2.0,1024,0,direct_displacement,341,341,682,0.8991233316813917,0.7736665449549924,0.8075882710518799,0.6771463119709794,0.12562034973123057,5000,14,6,8,3.180602006688963,1196,102,0.009171428571428572,0.9218493282782293
adult,2.0,1024,0,latent_smote,341,341,682,0.9029610442874965,0.7806154132314391,0.7975130548143519,0.6875852660300137,0.11107811123505784,5000,14,6,8,3.180602006688963,1196,102,0.009171428571428572,0.9218493282782293
adult,2.0,1024,0,latent_displacement,341,341,682,0.9029293074784129,0.7762626746970286,0.8029583588651894,0.6896551724137931,0.11230955670623026,5000,14,6,8,3.180602006688963,1196,102,0.009171428571428572,0.9218493282782293
adult,2.0,2048,0,real_balanced,0,837,837,0.9033540924615313,0.7858269270664959,0.825707547745588,0.6805708013172338,0.1367215312304125,5000,14,6,8,3.180602006688963,1196,102,0.009171428571428572,0.9218493282782293
adult,2.0,2048,0,direct_smote,683,683,1366,0.9089544186182771,0.7971172903175692,0.8153503621658176,0.6876513317191283,0.1142251565989377,5000,14,6,8,3.180602006688963,1196,102,0.009171428571428572,0.9218493282782293
adult,2.0,2048,0,direct_displacement,683,683,1366,0.9076849462549343,0.7932966338425702,0.8274469690126678,0.7009569377990431,0.11819802664871808,5000,14,6,8,3.180602006688963,1196,102,0.009171428571428572,0.9218493282782293
adult,2.0,2048,0,latent_smote,683,683,1366,0.9106193804486609,0.7980608779486106,0.8178404810323741,0.7075718015665796,0.10365661363341379,5000,14,6,8,3.180602006688963,1196,102,0.009171428571428572,0.9218493282782293
adult,2.0,2048,0,latent_displacement,683,683,1366,0.9095793896279226,0.7958353746989341,0.8148511177460029,0.7001287001287001,0.10440144236722824,5000,14,6,8,3.180602006688963,1196,102,0.009171428571428572,0.9218493282782293
adult,2.0,4096,0,real_balanced,0,837,837,0.9030513721287343,0.7645921088531882,0.8232040017674962,0.68,0.13709606918866976,5000,14,6,8,3.180602006688963,1196,102,0.009171428571428572,0.9218493282782293
